"modelname","scenario","sens_step","run_number","resource","time","server","queue","capacity","queue_size","system","limit","replication"
"orepass","initial suite",5,1,"bogger_get_stocks_resource",1,1,0,15,Inf,1,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",1,1,0,3,Inf,1,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",1,1,0,1,Inf,1,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",1,1,0,1,Inf,1,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",2,2,0,15,Inf,2,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",2,2,0,3,Inf,2,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",2,1,1,1,Inf,2,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",3,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",3,3,0,3,Inf,3,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",3,1,2,1,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",4,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",4,3,1,3,Inf,4,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",4,1,3,1,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",5,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",5,3,2,3,Inf,5,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",5,1,4,1,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",6,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",6,3,3,3,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",7,7,0,15,Inf,7,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",7,3,4,3,Inf,7,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",8,8,0,15,Inf,8,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",8,3,5,3,Inf,8,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",9,9,0,15,Inf,9,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",9,3,6,3,Inf,9,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",10,10,0,15,Inf,10,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",10,3,7,3,Inf,10,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",11,11,0,15,Inf,11,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",11,3,8,3,Inf,11,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",12,12,0,15,Inf,12,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",12,3,9,3,Inf,12,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",13,13,0,15,Inf,13,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",13,3,10,3,Inf,13,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",14,14,0,15,Inf,14,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",14,3,11,3,Inf,14,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",15,15,0,15,Inf,15,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",15,3,12,3,Inf,15,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",45.1812842608669,14,0,15,Inf,14,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",45.1812842608669,3,11,3,Inf,14,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",45.1812842608669,1,0,15,Inf,1,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",51.8412321014247,13,0,15,Inf,13,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",51.8412321014247,3,10,3,Inf,13,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",51.8412321014247,2,0,15,Inf,2,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",60.1910497256108,12,0,15,Inf,12,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",60.1910497256108,3,9,3,Inf,12,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",60.1910497256108,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",99.0747626622844,11,0,15,Inf,11,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",99.0747626622844,3,8,3,Inf,11,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",99.0747626622844,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",104.049614858878,10,0,15,Inf,10,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",104.049614858878,3,7,3,Inf,10,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",104.049614858878,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",109.77652456815,9,0,15,Inf,9,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",109.77652456815,3,6,3,Inf,9,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",109.77652456815,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",126.578623600113,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",126.578623600113,1,0,15,Inf,1,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",126.578623600113,1,1,1,Inf,2,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",133.943909257378,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",133.943909257378,2,0,15,Inf,2,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",133.943909257378,1,2,1,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",140.561180245186,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",140.561180245186,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",140.561180245186,1,3,1,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",147.628671169709,8,0,15,Inf,8,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",147.628671169709,3,5,3,Inf,8,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",147.628671169709,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",160.045633573786,7,0,15,Inf,7,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",160.045633573786,3,4,3,Inf,7,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",160.045633573786,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",163.891189183975,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",163.891189183975,3,3,3,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",163.891189183975,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",177.397186530686,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",177.397186530686,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",177.397186530686,1,4,1,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",177.557332335714,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",177.557332335714,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",177.557332335714,1,5,1,Inf,6,Inf,1
"orepass","initial suite",5,1,"truck_get_stocks_resource",192.036005229184,1,3,1,Inf,4,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",192.036005229184,1,4,1,Inf,5,Inf,1
"orepass","initial suite",5,1,"truck_haul_loaded_resource",192.036005229184,1,0,5,Inf,1,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",192.036005229184,1,5,1,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",198.301730671116,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",198.301730671116,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",198.301730671116,1,6,1,Inf,7,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",201.85530011132,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",201.85530011132,3,2,3,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",201.85530011132,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",203.470506227423,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",203.470506227423,3,1,3,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",203.470506227423,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",209.037135432418,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",209.037135432418,3,0,3,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",209.037135432418,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",216.973190143702,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",216.973190143702,1,5,1,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_empty_resource",216.973190143702,1,0,15,Inf,1,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",238.112931465123,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",238.112931465123,1,4,1,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_haul_empty_resource",238.112931465123,2,0,15,Inf,2,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",240.567622201615,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",240.567622201615,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",240.567622201615,1,5,1,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",248.099489967603,4,0,15,Inf,4,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",248.099489967603,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",248.099489967603,1,6,1,Inf,7,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",251.588240522543,2,0,15,Inf,2,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",251.588240522543,2,0,3,Inf,2,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",251.588240522543,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",254.356489249684,1,0,15,Inf,1,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",254.356489249684,1,0,3,Inf,1,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",254.356489249684,6,0,15,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_dump_stocks_resource",260.145216504094,5,0,15,Inf,5,Inf,1
"orepass","initial suite",5,1,"stope_stock_access",260.145216504094,1,5,1,Inf,6,Inf,1
"orepass","initial suite",5,1,"bogger_haul_empty_resource",260.145216504094,3,0,15,Inf,3,Inf,1
"orepass","initial suite",5,1,"bogger_get_stocks_resource",260.460251468148,0,0,15,Inf,0,Inf,1
"orepass","initial suite",5,1,"drawpoint_access",260.460251468148,0,0,3,Inf,0,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",260.460251468148,7,0,15,Inf,7,Inf,1
"orepass","initial suite",5,1,"bogger_haul_loaded_resource",267.131335640638,6,0,15,Inf,6,Inf,1
